,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
112,D1_2,+,112,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46633048765503 49.37884393984074,17.46635619216935 49.37875560518567)"
113,D1_2,+,113,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46635619216935 49.37875560518567,17.466381896597092 49.3786672705251)"
114,D1_2,+,114,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466381896597092 49.3786672705251,17.466407600938247 49.378578935859004)"
115,D1_2,+,115,0,6270,904,1862,17,0.4849026378404096,7.5,7.5,2,2,"LINESTRING(17.466407600938247 49.378578935859004,17.466410429585697 49.37856921500671,17.466432159181792 49.3784904627093)"
116,D1_2,+,116,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466432159181792 49.3784904627093,17.466456575635053 49.378401972431284)"
117,D1_2,+,117,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466456575635053 49.378401972431284,17.46648099200624 49.37831348214823)"
118,D1_2,+,118,0,6270,904,1862,17,0.07019633667917521,7.5,7.5,2,2,"LINESTRING(17.46648099200624 49.37831348214823,17.466502846507026 49.37823427638878,17.46650524207685 49.37822497296193)"
119,D1_2,+,119,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46650524207685 49.37822497296193,17.466528074068233 49.37813630255112)"
120,D1_2,+,120,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466528074068233 49.37813630255112,17.466550905983116 49.37804763213585)"
121,D1_2,+,121,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466550905983116 49.37804763213585,17.46657373782151 49.377958961716125)"
122,D1_2,+,122,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46657373782151 49.377958961716125,17.466596569583405 49.37787029129194)"
123,D1_2,+,123,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466596569583405 49.37787029129194,17.466619401268808 49.377781620863296)"
124,D1_2,+,124,0,6270,904,1862,17,0.8200520635537438,7.5,7.5,2,2,"LINESTRING(17.466619401268808 49.377781620863296,17.46662258040689 49.37776927415835,17.46664028655088 49.377692747627975)"
125,D1_2,+,125,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46664028655088 49.377692747627975,17.466660856911325 49.37760384158205)"
126,D1_2,+,126,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466660856911325 49.37760384158205,17.466681427203284 49.37751493553238)"
127,D1_2,+,127,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466681427203284 49.37751493553238,17.466701997426753 49.377426029478976)"
128,D1_2,+,128,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466701997426753 49.377426029478976,17.466722567581744 49.377337123421825)"
129,D1_2,+,129,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466722567581744 49.377337123421825,17.466743137668253 49.37724821736092)"
130,D1_2,+,130,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466743137668253 49.37724821736092,17.466763707686273 49.37715931129629)"
